n;t_ns
314;1.790e+02
314;1.800e+02
314;1.770e+02
314;1.770e+02
314;1.770e+02
314;1.840e+02
314;1.780e+02
314;1.870e+02
314;1.810e+02
314;1.800e+02
314;1.810e+02
1000;5.380e+02
1000;5.300e+02
1000;5.290e+02
1000;5.340e+02
1000;5.320e+02
1000;5.290e+02
1000;5.300e+02
1000;5.260e+02
1000;5.270e+02
1000;5.290e+02
1000;5.330e+02
3141;1.637e+03
3141;1.616e+03
3141;1.637e+03
3141;1.592e+03
3141;1.605e+03
3141;1.601e+03
3141;1.603e+03
3141;1.618e+03
3141;1.612e+03
3141;1.613e+03
3141;1.602e+03
10000;5.340e+03
10000;5.064e+03
10000;4.995e+03
10000;5.023e+03
10000;4.986e+03
10000;5.065e+03
10000;4.962e+03
10000;5.008e+03
10000;4.968e+03
10000;4.993e+03
10000;4.951e+03
31415;1.674e+04
31415;1.621e+04
31415;1.593e+04
31415;1.580e+04
31415;1.581e+04
31415;1.573e+04
31415;1.573e+04
31415;1.564e+04
31415;1.562e+04
31415;1.555e+04
31415;1.570e+04
100000;5.474e+04
100000;5.322e+04
100000;5.237e+04
100000;5.183e+04
100000;5.124e+04
100000;5.100e+04
100000;5.091e+04
100000;5.063e+04
100000;5.098e+04
100000;5.069e+04
100000;5.047e+04
