n;t_ns
314;1.970e+02
314;2.030e+02
314;1.990e+02
314;2.030e+02
314;1.990e+02
314;1.990e+02
314;1.990e+02
314;1.970e+02
314;2.040e+02
314;1.960e+02
314;1.950e+02
1000;5.920e+02
1000;5.850e+02
1000;6.240e+02
1000;5.880e+02
1000;6.020e+02
1000;6.010e+02
1000;5.940e+02
1000;6.020e+02
1000;5.980e+02
1000;6.020e+02
1000;6.040e+02
3141;1.906e+03
3141;1.985e+03
3141;1.896e+03
3141;1.949e+03
3141;1.965e+03
3141;1.945e+03
3141;1.858e+03
3141;2.106e+03
3141;1.868e+03
3141;1.848e+03
3141;1.942e+03
10000;6.332e+03
10000;5.971e+03
10000;6.271e+03
10000;6.077e+03
10000;5.900e+03
10000;5.865e+03
10000;5.799e+03
10000;5.654e+03
10000;6.540e+03
10000;5.832e+03
10000;5.892e+03
31415;1.976e+04
31415;1.964e+04
31415;1.881e+04
31415;1.850e+04
31415;1.866e+04
31415;1.842e+04
31415;1.868e+04
31415;1.837e+04
31415;1.806e+04
31415;1.808e+04
31415;1.873e+04
100000;6.401e+04
100000;6.362e+04
100000;6.178e+04
100000;6.179e+04
100000;6.181e+04
100000;6.202e+04
100000;6.014e+04
100000;5.940e+04
100000;6.053e+04
100000;5.944e+04
100000;5.755e+04
