n;t_ns
314;2.040e+02
314;2.060e+02
314;2.040e+02
314;2.180e+02
314;2.080e+02
314;2.060e+02
314;2.060e+02
314;2.120e+02
314;2.080e+02
314;2.040e+02
314;2.050e+02
1000;6.120e+02
1000;6.050e+02
1000;6.040e+02
1000;6.100e+02
1000;6.080e+02
1000;6.010e+02
1000;6.060e+02
1000;6.060e+02
1000;6.060e+02
1000;6.070e+02
1000;5.990e+02
3141;1.827e+03
3141;1.935e+03
3141;1.869e+03
3141;1.860e+03
3141;1.853e+03
3141;1.837e+03
3141;1.860e+03
3141;1.824e+03
3141;1.831e+03
3141;1.833e+03
3141;1.831e+03
10000;5.858e+03
10000;5.863e+03
10000;5.889e+03
10000;5.852e+03
10000;5.856e+03
10000;5.894e+03
10000;5.893e+03
10000;6.000e+03
10000;5.925e+03
10000;5.869e+03
10000;5.812e+03
31415;1.845e+04
31415;1.813e+04
31415;1.802e+04
31415;1.809e+04
31415;1.816e+04
31415;1.817e+04
31415;1.801e+04
31415;1.795e+04
31415;1.802e+04
31415;1.803e+04
31415;1.797e+04
100000;5.734e+04
100000;5.732e+04
100000;5.716e+04
100000;5.728e+04
100000;5.760e+04
100000;5.722e+04
100000;5.712e+04
100000;5.689e+04
100000;5.703e+04
100000;5.705e+04
100000;5.700e+04
