n;t_ns
314;1.820e+02
314;1.810e+02
314;1.940e+02
314;1.750e+02
314;1.780e+02
314;1.750e+02
314;1.750e+02
314;1.750e+02
314;1.750e+02
314;1.760e+02
314;1.750e+02
1000;5.470e+02
1000;5.360e+02
1000;5.290e+02
1000;5.200e+02
1000;5.070e+02
1000;5.010e+02
1000;5.000e+02
1000;5.050e+02
1000;5.050e+02
1000;5.060e+02
1000;5.020e+02
3141;1.656e+03
3141;1.653e+03
3141;1.702e+03
3141;1.675e+03
3141;1.672e+03
3141;1.647e+03
3141;1.645e+03
3141;1.613e+03
3141;1.614e+03
3141;1.649e+03
3141;1.605e+03
10000;5.238e+03
10000;5.196e+03
10000;5.208e+03
10000;5.213e+03
10000;5.208e+03
10000;5.202e+03
10000;5.194e+03
10000;5.180e+03
10000;5.181e+03
10000;5.199e+03
10000;5.187e+03
31415;1.628e+04
31415;1.633e+04
31415;1.646e+04
31415;1.640e+04
31415;1.645e+04
31415;1.629e+04
31415;1.626e+04
31415;1.630e+04
31415;1.629e+04
31415;1.622e+04
31415;1.641e+04
100000;5.192e+04
100000;5.220e+04
100000;5.176e+04
100000;5.173e+04
100000;5.205e+04
100000;5.185e+04
100000;5.185e+04
100000;5.195e+04
100000;5.238e+04
100000;5.197e+04
100000;5.218e+04
