n;t_ns
314;1.640e+02
314;1.700e+02
314;1.550e+02
314;1.550e+02
314;1.560e+02
314;1.550e+02
314;1.550e+02
314;1.550e+02
314;1.550e+02
314;1.560e+02
314;1.790e+02
1000;5.060e+02
1000;4.670e+02
1000;4.450e+02
1000;4.350e+02
1000;4.220e+02
1000;4.260e+02
1000;4.120e+02
1000;4.370e+02
1000;4.490e+02
1000;4.170e+02
1000;4.150e+02
3141;1.647e+03
3141;1.636e+03
3141;1.661e+03
3141;1.649e+03
3141;1.570e+03
3141;1.565e+03
3141;1.552e+03
3141;1.547e+03
3141;1.531e+03
3141;1.494e+03
3141;1.497e+03
10000;5.352e+03
10000;5.296e+03
10000;5.304e+03
10000;5.283e+03
10000;5.268e+03
10000;5.242e+03
10000;5.306e+03
10000;5.230e+03
10000;5.276e+03
10000;5.205e+03
10000;5.214e+03
31415;1.637e+04
31415;1.638e+04
31415;1.666e+04
31415;1.644e+04
31415;1.660e+04
31415;1.678e+04
31415;1.659e+04
31415;1.656e+04
31415;1.635e+04
31415;1.679e+04
31415;1.654e+04
100000;5.462e+04
100000;5.286e+04
100000;5.425e+04
100000;5.436e+04
100000;5.446e+04
100000;5.434e+04
100000;5.328e+04
100000;5.294e+04
100000;5.304e+04
100000;5.353e+04
100000;5.339e+04
