n,t_ns,swaps
811,4.1090000000e+05,25625
811,4.3590000000e+05,25362
911,4.3760000000e+05,26265
911,5.3700000000e+05,30102
911,5.1870000000e+05,30110
911,4.0120000000e+05,26243
911,4.7900000000e+05,26159
911,4.4530000000e+05,25947
911,4.7820000000e+05,30005
911,5.2190000000e+05,30646
911,4.7780000000e+05,27074
911,4.3660000000e+05,26232
1024,6.9410000000e+05,47408
1024,7.8570000000e+05,48227
1024,6.6890000000e+05,46087
1024,8.8920000000e+05,49799
1024,6.3460000000e+05,45563
1024,7.1920000000e+05,43658
1024,6.4910000000e+05,43427
1024,6.7010000000e+05,50562
1024,6.3860000000e+05,46182
1024,7.6030000000e+05,48327
1150,7.7640000000e+05,38419
1150,7.0720000000e+05,40458
1150,8.0790000000e+05,41671
1150,8.2910000000e+05,40345
1150,8.0180000000e+05,42099
1150,7.2070000000e+05,40851
1150,6.4500000000e+05,39874
1150,6.7980000000e+05,38986
1150,7.7700000000e+05,43920
1150,7.4170000000e+05,38112
1292,9.2960000000e+05,52425
1292,1.0338000000e+06,57324
1292,9.9120000000e+05,55205
1292,1.0936000000e+06,63228
1292,9.6030000000e+05,59012
1292,8.7630000000e+05,57974
1292,1.2250000000e+06,62368
1292,1.0836000000e+06,62912
1292,9.7290000000e+05,57940
1292,1.1191000000e+06,60525
1451,1.0040000000e+06,66933
1451,1.1215000000e+06,64718
1451,1.2118000000e+06,64295
1451,1.1815000000e+06,68694
1451,1.2634000000e+06,68497
1451,1.4098000000e+06,64161
1451,1.0997000000e+06,63080
1451,1.0794000000e+06,64651
1451,1.4384000000e+06,67778
1451,1.2256000000e+06,70600
1630,1.5169000000e+06,77857
1630,1.4429000000e+06,79694
1630,1.4283000000e+06,78739
1630,1.4370000000e+06,77583
1630,1.4145000000e+06,79202
1630,1.3840000000e+06,74975
1630,1.3236000000e+06,77635
1630,1.4001000000e+06,77664
1630,1.4875000000e+06,71871
1630,1.4790000000e+06,81905
1831,1.7532000000e+06,104187
1831,1.7061000000e+06,111854
1831,1.9477000000e+06,114108
1831,1.8971000000e+06,113768
1831,1.8292000000e+06,110047
1831,1.8664000000e+06,100784
1831,1.9060000000e+06,104154
1831,1.8152000000e+06,106013
1831,1.8529000000e+06,101788
1831,2.0818000000e+06,108589
2057,3.3496000000e+06,179746
2057,2.7206000000e+06,152634
2057,2.5603000000e+06,159689
2057,3.0690000000e+06,162385
2057,2.7733000000e+06,151006
2057,2.4314000000e+06,164455
2057,2.9914000000e+06,154296
2057,2.4854000000e+06,157342
2057,2.4729000000e+06,165798
2057,2.5740000000e+06,155664
2310,3.3589000000e+06,188204
2310,3.4493000000e+06,190043
2310,3.0357000000e+06,188599
2310,3.3856000000e+06,180927
2310,2.9670000000e+06,170097
2310,3.1113000000e+06,181648
2310,3.0515000000e+06,178665
2310,2.6754000000e+06,163388
2310,3.0881000000e+06,169748
2310,3.0060000000e+06,178767
2595,3.7911000000e+06,251940
2595,4.2778000000e+06,234959
2595,3.8598000000e+06,217438
2595,3.5625000000e+06,242338
2595,3.7757000000e+06,230726
2595,3.9270000000e+06,255481
2595,3.6116000000e+06,228003
2595,4.0178000000e+06,247599
2595,3.4729000000e+06,240426
2595,3.8305000000e+06,246314
2915,4.7254000000e+06,287323
2915,5.1686000000e+06,301790
2915,4.5024000000e+06,291685
2915,4.7011000000e+06,300285
2915,4.9426000000e+06,297540
2915,4.6665000000e+06,277313
2915,4.8655000000e+06,302302
2915,5.1807000000e+06,292422
2915,4.6654000000e+06,318683
2915,4.9611000000e+06,297188
3275,7.6739000000e+06,366698
3275,6.2418000000e+06,354506
3275,5.7622000000e+06,350204
3275,6.2587000000e+06,357189
