n,t_ns,swaps
911,9.8300000000e+04,6633
911,1.0580000000e+05,6999
911,9.7400000000e+04,5798
911,9.2600000000e+04,5650
911,9.9500000000e+04,6378
911,1.0020000000e+05,6358
911,9.3200000000e+04,5621
911,9.9900000000e+04,5787
911,9.9700000000e+04,6926
1024,1.1170000000e+05,7118
1024,1.0600000000e+05,6561
1024,1.1170000000e+05,7375
1024,1.1680000000e+05,8230
1024,1.1030000000e+05,6700
1024,1.2960000000e+05,8206
1024,1.1550000000e+05,7396
1024,1.1500000000e+05,7349
1024,1.1530000000e+05,7322
1024,1.1130000000e+05,7413
1150,1.3720000000e+05,9097
1150,1.3790000000e+05,8795
1150,1.3430000000e+05,9553
1150,1.3030000000e+05,8152
1150,1.2180000000e+05,7846
1150,1.1080000000e+05,8471
1150,1.1250000000e+05,9889
1150,1.0650000000e+05,8128
1150,1.1400000000e+05,8480
1150,1.0530000000e+05,8211
1292,1.2470000000e+05,9945
1292,1.2390000000e+05,9834
1292,1.2390000000e+05,9957
1292,1.2180000000e+05,8970
1292,1.2120000000e+05,10013
1292,1.2880000000e+05,10448
1292,1.2430000000e+05,10269
1292,1.1690000000e+05,8942
1292,1.2240000000e+05,9702
1292,1.2110000000e+05,9759
1451,1.4070000000e+05,11457
1451,1.4670000000e+05,11530
1451,1.4670000000e+05,11405
1451,1.4400000000e+05,11968
1451,1.3970000000e+05,11242
1451,1.3240000000e+05,10174
1451,1.3830000000e+05,11183
1451,1.7570000000e+05,11475
1451,1.4210000000e+05,11520
1451,1.3880000000e+05,11397
1630,1.5560000000e+05,12670
1630,1.6180000000e+05,13882
1630,1.5540000000e+05,12779
1630,1.6350000000e+05,13695
1630,1.6410000000e+05,14227
1630,1.5280000000e+05,11830
1630,1.5980000000e+05,13649
1630,1.5810000000e+05,12932
1630,1.5780000000e+05,12411
1630,1.6130000000e+05,13817
1831,1.9050000000e+05,17243
1831,1.8290000000e+05,14476
1831,1.8370000000e+05,15455
1831,1.8900000000e+05,15770
1831,1.8890000000e+05,15830
1831,1.8330000000e+05,15276
1831,1.8230000000e+05,14941
1831,1.8680000000e+05,15140
1831,1.8260000000e+05,15078
1831,1.8860000000e+05,16849
2057,2.0460000000e+05,16433
