n,t_ns,swaps
100,4.5000000000e+03,313
100,4.5000000000e+03,350
100,4.2000000000e+03,324
100,3.9000000000e+03,264
100,4.0000000000e+03,305
100,4.3000000000e+03,348
100,4.2000000000e+03,323
100,4.2000000000e+03,305
100,4.1000000000e+03,313
100,3.9000000000e+03,280
200,1.1000000000e+04,919
200,1.0000000000e+04,783
200,1.0800000000e+04,841
200,1.0500000000e+04,810
200,1.0100000000e+04,770
200,9.6000000000e+03,733
200,1.0300000000e+04,794
200,1.0500000000e+04,834
200,1.0500000000e+04,825
200,1.0700000000e+04,851
500,3.3200000000e+04,2867
500,3.1900000000e+04,2643
500,3.1500000000e+04,2653
500,3.1500000000e+04,2550
500,3.1400000000e+04,2637
500,3.3800000000e+04,2997
500,3.2300000000e+04,2713
500,3.2800000000e+04,2826
500,3.2000000000e+04,2791
500,3.2200000000e+04,2766
1000,7.4100000000e+04,6390
1000,7.5100000000e+04,6554
1000,7.4700000000e+04,6525
1000,7.5000000000e+04,6531
1000,7.4500000000e+04,6528
1000,7.9400000000e+04,7350
1000,7.4700000000e+04,6586
1000,7.8000000000e+04,7393
1000,7.5300000000e+04,6670
1000,7.6600000000e+04,6905
2000,1.7770000000e+05,16421
2000,1.8070000000e+05,16900
2000,1.8260000000e+05,15816
2000,1.7370000000e+05,15498
2000,1.8440000000e+05,17742
2000,1.8620000000e+05,18080
2000,1.7620000000e+05,16136
2000,1.8260000000e+05,17527
2000,1.7790000000e+05,16461
2000,1.8080000000e+05,17298
5000,5.4850000000e+05,54442
5000,5.3490000000e+05,52044
5000,5.4870000000e+05,56332
5000,5.5390000000e+05,56751
5000,5.3470000000e+05,53666
5000,5.2380000000e+05,51110
5000,5.5900000000e+05,57881
5000,5.3620000000e+05,53933
5000,5.2530000000e+05,51693
5000,5.4490000000e+05,54170
10000,1.3140000000e+06,153032
10000,1.2456000000e+06,132914
10000,1.1968000000e+06,122216
10000,1.2476000000e+06,132773
10000,1.2698000000e+06,129072
10000,1.2401000000e+06,131199
10000,1.2274000000e+06,129140
10000,1.2058000000e+06,125404
10000,1.2540000000e+06,133985
10000,1.2321000000e+06,128278
