n;t_ns
314;2.280e+02
314;2.120e+02
314;2.140e+02
314;2.090e+02
314;2.100e+02
314;2.110e+02
314;2.140e+02
314;2.110e+02
314;2.060e+02
314;2.090e+02
314;2.070e+02
314;2.070e+02
314;2.070e+02
314;2.100e+02
314;2.060e+02
314;2.080e+02
314;2.130e+02
314;2.160e+02
314;2.140e+02
314;2.120e+02
314;2.140e+02
1000;6.250e+02
1000;6.130e+02
1000;6.200e+02
1000;6.120e+02
1000;6.220e+02
1000;6.110e+02
1000;6.220e+02
1000;6.090e+02
1000;6.170e+02
1000;6.180e+02
1000;6.360e+02
1000;6.470e+02
1000;6.370e+02
1000;6.160e+02
1000;6.230e+02
1000;6.240e+02
1000;6.260e+02
1000;6.110e+02
1000;6.250e+02
1000;6.140e+02
1000;6.230e+02
3141;1.860e+03
3141;1.859e+03
3141;1.871e+03
3141;1.874e+03
3141;1.883e+03
3141;1.861e+03
3141;1.877e+03
3141;1.853e+03
3141;1.904e+03
3141;1.854e+03
3141;1.883e+03
3141;1.856e+03
3141;1.875e+03
3141;1.861e+03
3141;1.893e+03
3141;1.852e+03
3141;1.874e+03
3141;1.853e+03
3141;1.871e+03
3141;1.875e+03
3141;1.878e+03
10000;5.927e+03
10000;5.913e+03
10000;5.938e+03
10000;5.896e+03
10000;5.943e+03
10000;5.918e+03
10000;5.931e+03
10000;5.903e+03
10000;5.936e+03
10000;5.915e+03
10000;6.036e+03
10000;5.940e+03
10000;5.921e+03
10000;5.933e+03
10000;5.925e+03
10000;5.886e+03
10000;5.915e+03
10000;5.922e+03
10000;5.927e+03
10000;5.900e+03
10000;5.924e+03
31415;1.864e+04
31415;1.854e+04
31415;1.858e+04
31415;1.850e+04
31415;1.852e+04
31415;1.845e+04
31415;1.843e+04
31415;1.842e+04
31415;1.848e+04
31415;1.844e+04
31415;1.840e+04
31415;1.847e+04
31415;1.855e+04
31415;1.842e+04
31415;1.848e+04
31415;1.844e+04
31415;1.848e+04
31415;1.840e+04
31415;1.847e+04
31415;1.843e+04
31415;1.851e+04
100000;5.947e+04
100000;5.850e+04
100000;5.854e+04
100000;5.834e+04
100000;5.850e+04
100000;5.853e+04
100000;5.853e+04
100000;5.832e+04
100000;5.827e+04
100000;5.831e+04
100000;5.839e+04
100000;5.825e+04
100000;5.826e+04
100000;5.822e+04
100000;5.829e+04
100000;5.819e+04
100000;5.824e+04
100000;5.820e+04
100000;5.827e+04
100000;5.827e+04
100000;5.818e+04
314159;1.830e+05
314159;1.837e+05
314159;1.837e+05
314159;1.836e+05
314159;1.837e+05
314159;1.825e+05
314159;1.815e+05
314159;1.806e+05
314159;1.808e+05
314159;1.804e+05
314159;1.797e+05
314159;1.805e+05
314159;1.801e+05
314159;1.801e+05
314159;1.818e+05
314159;1.823e+05
314159;1.808e+05
314159;1.813e+05
314159;1.805e+05
314159;1.800e+05
314159;1.831e+05
1000000;6.063e+05
1000000;5.865e+05
1000000;5.832e+05
1000000;5.865e+05
1000000;5.755e+05
1000000;5.798e+05
1000000;5.926e+05
1000000;5.799e+05
1000000;5.768e+05
1000000;5.748e+05
1000000;6.333e+05
1000000;7.071e+05
1000000;6.515e+05
1000000;6.219e+05
1000000;5.977e+05
1000000;5.980e+05
1000000;6.073e+05
1000000;5.986e+05
1000000;5.952e+05
1000000;6.026e+05
1000000;6.016e+05
