n;t_ns
314;2.000e+02
314;1.900e+02
314;2.020e+02
314;1.920e+02
314;1.920e+02
314;1.930e+02
314;1.960e+02
314;1.900e+02
314;1.990e+02
314;1.910e+02
314;2.100e+02
314;1.940e+02
314;1.910e+02
314;1.940e+02
314;1.910e+02
314;1.950e+02
314;1.950e+02
314;2.150e+02
314;2.340e+02
314;2.050e+02
314;1.960e+02
1000;6.120e+02
1000;5.820e+02
1000;5.890e+02
1000;5.620e+02
1000;5.590e+02
1000;5.580e+02
1000;5.590e+02
1000;5.760e+02
1000;5.490e+02
1000;5.500e+02
1000;5.870e+02
1000;5.500e+02
1000;5.560e+02
1000;5.540e+02
1000;5.590e+02
1000;5.460e+02
1000;5.830e+02
1000;5.490e+02
1000;6.350e+02
1000;6.270e+02
1000;5.630e+02
3141;1.877e+03
3141;1.861e+03
3141;1.844e+03
3141;1.849e+03
3141;1.851e+03
3141;1.814e+03
3141;1.837e+03
3141;1.797e+03
3141;1.818e+03
3141;1.825e+03
3141;1.830e+03
3141;1.782e+03
3141;1.791e+03
3141;1.762e+03
3141;1.797e+03
3141;1.746e+03
3141;1.747e+03
3141;1.742e+03
3141;1.771e+03
3141;1.755e+03
3141;1.800e+03
10000;5.873e+03
10000;5.904e+03
10000;5.874e+03
10000;5.911e+03
10000;5.854e+03
10000;5.871e+03
10000;5.892e+03
10000;5.820e+03
10000;5.841e+03
10000;5.832e+03
10000;5.882e+03
10000;5.889e+03
10000;5.818e+03
10000;5.935e+03
10000;5.846e+03
10000;5.949e+03
10000;5.830e+03
10000;5.911e+03
10000;5.962e+03
10000;5.863e+03
10000;5.996e+03
31415;1.867e+04
31415;1.867e+04
31415;1.852e+04
31415;1.829e+04
31415;1.844e+04
31415;1.827e+04
31415;1.842e+04
31415;1.827e+04
31415;1.820e+04
31415;1.839e+04
31415;1.827e+04
31415;1.842e+04
31415;1.831e+04
31415;1.819e+04
31415;1.826e+04
31415;1.827e+04
31415;1.831e+04
31415;1.834e+04
31415;1.844e+04
31415;1.827e+04
31415;1.831e+04
100000;5.853e+04
100000;5.850e+04
100000;5.906e+04
100000;5.896e+04
100000;5.872e+04
100000;5.893e+04
100000;5.875e+04
100000;5.826e+04
100000;5.955e+04
100000;6.209e+04
100000;5.840e+04
100000;5.836e+04
100000;5.786e+04
100000;5.772e+04
100000;5.835e+04
100000;6.157e+04
100000;6.024e+04
100000;6.065e+04
100000;6.158e+04
100000;6.088e+04
100000;6.064e+04
314159;1.884e+05
314159;1.860e+05
314159;1.892e+05
314159;1.858e+05
314159;1.842e+05
314159;1.847e+05
314159;2.095e+05
314159;2.142e+05
314159;1.866e+05
314159;1.838e+05
314159;1.842e+05
314159;1.828e+05
314159;1.855e+05
314159;1.834e+05
314159;1.830e+05
314159;1.832e+05
314159;1.827e+05
314159;1.855e+05
314159;1.832e+05
314159;1.839e+05
314159;1.856e+05
1000000;5.864e+05
1000000;5.774e+05
1000000;5.760e+05
1000000;5.777e+05
1000000;5.815e+05
1000000;5.828e+05
1000000;5.900e+05
1000000;5.852e+05
1000000;6.010e+05
1000000;6.065e+05
1000000;5.993e+05
1000000;5.934e+05
1000000;5.862e+05
1000000;5.834e+05
1000000;5.865e+05
1000000;5.781e+05
1000000;5.709e+05
1000000;5.710e+05
1000000;5.913e+05
1000000;5.978e+05
1000000;5.933e+05
