n;t_ns
314;1.740e+02
314;1.900e+02
314;1.790e+02
314;1.780e+02
314;1.760e+02
314;1.780e+02
314;1.750e+02
314;1.780e+02
314;1.760e+02
314;1.810e+02
314;1.790e+02
314;1.800e+02
314;1.800e+02
314;1.800e+02
314;1.760e+02
314;1.800e+02
314;1.800e+02
314;1.800e+02
314;1.790e+02
314;1.760e+02
314;1.790e+02
1000;5.170e+02
1000;5.120e+02
1000;5.210e+02
1000;5.070e+02
1000;5.230e+02
1000;5.070e+02
1000;5.210e+02
1000;5.060e+02
1000;5.210e+02
1000;5.120e+02
1000;5.320e+02
1000;5.080e+02
1000;5.220e+02
1000;5.060e+02
1000;5.450e+02
1000;5.340e+02
1000;5.290e+02
1000;5.110e+02
1000;5.630e+02
1000;5.090e+02
1000;5.240e+02
3141;1.665e+03
3141;1.547e+03
3141;1.570e+03
3141;1.532e+03
3141;1.539e+03
3141;1.518e+03
3141;1.551e+03
3141;1.528e+03
3141;1.544e+03
3141;1.552e+03
3141;1.544e+03
3141;1.529e+03
3141;1.533e+03
3141;1.545e+03
3141;1.538e+03
3141;1.550e+03
3141;1.540e+03
3141;1.533e+03
3141;1.539e+03
3141;1.524e+03
3141;1.539e+03
10000;5.053e+03
10000;4.869e+03
10000;4.881e+03
10000;4.824e+03
10000;4.894e+03
10000;4.817e+03
10000;4.851e+03
10000;4.810e+03
10000;4.826e+03
10000;4.809e+03
10000;4.834e+03
10000;4.803e+03
10000;4.825e+03
10000;4.796e+03
10000;4.851e+03
10000;4.807e+03
10000;4.853e+03
10000;4.824e+03
10000;4.815e+03
10000;4.872e+03
10000;4.838e+03
31415;1.633e+04
31415;1.568e+04
31415;1.541e+04
31415;1.558e+04
31415;1.524e+04
31415;1.519e+04
31415;1.518e+04
31415;1.509e+04
31415;1.511e+04
31415;1.510e+04
31415;1.510e+04
31415;1.507e+04
31415;1.511e+04
31415;1.505e+04
31415;1.511e+04
31415;1.513e+04
31415;1.509e+04
31415;1.506e+04
31415;1.502e+04
31415;1.513e+04
31415;1.503e+04
100000;5.220e+04
100000;5.108e+04
100000;5.023e+04
100000;5.106e+04
100000;4.955e+04
100000;4.896e+04
100000;4.902e+04
100000;4.881e+04
100000;4.848e+04
100000;4.846e+04
100000;4.834e+04
100000;4.790e+04
100000;4.806e+04
100000;4.797e+04
100000;4.821e+04
100000;4.796e+04
100000;4.795e+04
100000;4.786e+04
100000;4.771e+04
100000;4.770e+04
100000;4.773e+04
314159;1.659e+05
314159;1.643e+05
314159;1.625e+05
314159;1.624e+05
314159;1.607e+05
314159;1.600e+05
314159;1.592e+05
314159;1.585e+05
314159;1.582e+05
314159;1.579e+05
314159;1.571e+05
314159;1.561e+05
314159;1.558e+05
314159;1.553e+05
314159;1.545e+05
314159;1.548e+05
314159;1.540e+05
314159;1.538e+05
314159;1.537e+05
314159;1.533e+05
314159;1.534e+05
1000000;5.285e+05
1000000;5.256e+05
1000000;5.242e+05
1000000;5.238e+05
1000000;5.224e+05
1000000;5.217e+05
1000000;5.194e+05
1000000;5.168e+05
1000000;5.170e+05
1000000;5.139e+05
1000000;5.133e+05
1000000;5.118e+05
1000000;5.112e+05
1000000;5.107e+05
1000000;5.106e+05
1000000;5.091e+05
1000000;5.081e+05
1000000;5.084e+05
1000000;5.056e+05
1000000;5.052e+05
1000000;5.037e+05
