n;t_ns
314;1.940e+02
314;2.150e+02
314;1.970e+02
314;1.990e+02
314;2.000e+02
314;1.970e+02
314;1.950e+02
314;2.060e+02
314;2.010e+02
314;2.020e+02
314;1.990e+02
314;1.990e+02
314;2.000e+02
314;1.980e+02
314;1.990e+02
314;1.990e+02
314;2.000e+02
314;1.960e+02
314;2.000e+02
314;1.990e+02
314;1.970e+02
1000;5.770e+02
1000;5.790e+02
1000;5.910e+02
1000;5.740e+02
1000;5.830e+02
1000;5.640e+02
1000;5.760e+02
1000;5.620e+02
1000;5.730e+02
1000;5.650e+02
1000;5.780e+02
1000;5.760e+02
1000;5.690e+02
1000;5.750e+02
1000;5.660e+02
1000;5.670e+02
1000;5.680e+02
1000;5.630e+02
1000;5.680e+02
1000;5.650e+02
1000;5.630e+02
3141;1.701e+03
3141;1.692e+03
3141;1.710e+03
3141;1.726e+03
3141;1.691e+03
3141;1.681e+03
3141;1.699e+03
3141;1.695e+03
3141;1.695e+03
3141;1.708e+03
3141;1.697e+03
3141;1.706e+03
3141;1.703e+03
3141;1.696e+03
3141;1.708e+03
3141;1.707e+03
3141;1.690e+03
3141;1.675e+03
3141;1.696e+03
3141;1.674e+03
3141;1.711e+03
10000;5.345e+03
10000;5.378e+03
10000;5.347e+03
10000;5.435e+03
10000;5.444e+03
10000;5.585e+03
10000;5.459e+03
10000;5.456e+03
10000;5.443e+03
10000;5.430e+03
10000;5.472e+03
10000;5.470e+03
10000;5.483e+03
10000;5.433e+03
10000;5.480e+03
10000;5.579e+03
10000;5.465e+03
10000;5.444e+03
10000;5.451e+03
10000;5.878e+03
10000;5.501e+03
31415;1.732e+04
31415;1.716e+04
31415;1.727e+04
31415;1.755e+04
31415;1.731e+04
31415;1.726e+04
31415;1.735e+04
31415;1.734e+04
31415;1.741e+04
31415;1.731e+04
31415;1.749e+04
31415;1.732e+04
31415;1.741e+04
31415;1.738e+04
31415;1.740e+04
31415;1.721e+04
31415;1.745e+04
31415;1.737e+04
31415;1.729e+04
31415;1.750e+04
31415;1.729e+04
100000;5.505e+04
100000;5.570e+04
100000;5.538e+04
100000;5.526e+04
100000;5.550e+04
100000;5.531e+04
100000;5.552e+04
100000;5.514e+04
100000;5.570e+04
100000;5.520e+04
100000;5.558e+04
100000;5.508e+04
100000;5.536e+04
100000;5.586e+04
100000;5.614e+04
100000;5.601e+04
100000;5.974e+04
100000;7.053e+04
100000;6.551e+04
100000;5.711e+04
100000;5.670e+04
314159;1.753e+05
314159;1.731e+05
314159;1.739e+05
314159;1.797e+05
314159;1.806e+05
314159;1.771e+05
314159;1.812e+05
314159;1.788e+05
314159;1.779e+05
314159;1.784e+05
314159;1.804e+05
314159;1.807e+05
314159;1.810e+05
314159;1.795e+05
314159;1.802e+05
314159;1.803e+05
314159;1.806e+05
314159;1.773e+05
314159;1.783e+05
314159;1.744e+05
314159;1.772e+05
1000000;5.828e+05
1000000;5.793e+05
1000000;5.691e+05
1000000;5.719e+05
1000000;5.721e+05
1000000;5.648e+05
1000000;5.597e+05
1000000;5.678e+05
1000000;5.682e+05
1000000;5.653e+05
1000000;5.696e+05
1000000;5.655e+05
1000000;5.709e+05
1000000;5.707e+05
1000000;5.707e+05
1000000;5.908e+05
1000000;1.225e+06
1000000;5.542e+05
1000000;5.477e+05
1000000;5.431e+05
1000000;5.409e+05
